Cluster,HHID,HHMemberID,Education,HealthInsurance,Parent,ComputerEver,Computer3M,InternetEver,Internet3M,MobileOwn,MobileUse,weight,Gender,nr of interviewd,Final weight
2,14,2,3,1,2,2,NA,2,NA,1,3,0.817649004,Female,21,17.17062909
2,14,4,3,1,1,1,2,NA,3,1,3,0.578175257,Female,21,12.1416804
2,15,3,5,1,1,1,2,NA,3,1,3,0.845658074,Male,7,5.919606521
2,15,4,5,1,1,1,2,NA,3,1,3,0.676187752,Female,21,14.19994279
2,16,3,4,1,2,1,1,NA,3,1,3,1.047674043,Female,21,22.0011549
2,17,3,3,2,2,1,3,NA,3,1,3,0.8767369,Female,21,18.41147491
2,17,4,3,2,1,2,NA,1,3,1,3,0.783036486,Female,21,16.4437662
2,17,5,3,1,1,1,2,NA,3,1,3,0.672518283,Male,7,4.707627983
2,18,3,5,1,1,1,3,1,3,1,3,0.676187752,Female,21,14.19994279
2,20,1,2,2,1,2,NA,2,NA,1,3,0.552002795,Female,21,11.5920587
2,20,2,1,2,1,2,NA,2,NA,1,3,0.578681765,Female,21,12.15231707
3,3,2,5,1,1,1,3,NA,3,1,3,0.679842821,Female,14,9.517799494
3,4,2,3,1,2,1,3,NA,3,1,3,1.141906025,Male,8,9.135248199
3,4,3,3,2,2,1,0,1,3,1,3,0.881476019,Female,14,12.34066426
3,8,1,3,1,1,1,0,1,3,1,3,0.938746896,Female,14,13.14245655
3,10,3,5,1,2,1,3,NA,3,1,3,1.045750001,Male,8,8.366000006
3,10,4,5,1,2,1,3,NA,3,1,3,1.141906025,Male,8,9.135248199
3,10,5,5,1,1,1,3,NA,3,1,3,0.65493417,Female,14,9.169078377
3,11,2,5,1,1,1,3,NA,3,1,3,1.107043248,Female,14,15.49860548
3,12,1,3,1,1,1,3,NA,3,1,3,0.870355714,Male,8,6.962845715
3,12,2,3,1,1,1,0,1,3,1,3,1.207977605,Female,14,16.91168646
3,12,3,3,1,2,1,3,NA,3,1,3,1.191255852,Male,8,9.530046818
3,13,4,3,1,2,1,2,NA,3,1,3,0.753707269,Female,14,10.55190176
3,15,5,5,1,2,2,NA,1,3,1,3,0.673155528,Female,14,9.424177391
3,16,2,2,1,1,2,NA,1,3,1,3,0.712700456,Female,14,9.977806383
3,16,3,5,1,2,1,2,NA,3,1,3,0.904406281,Male,8,7.235250245
3,16,4,3,1,2,1,1,NA,3,1,3,0.904406281,Male,8,7.235250245
3,16,6,3,2,2,2,NA,1,3,1,3,0.96142614,Female,14,13.45996596
3,17,2,5,1,2,1,3,NA,3,1,3,0.96264409,Female,14,13.47701726
3,18,2,4,1,1,1,3,1,3,1,3,0.679842821,Female,14,9.517799494
3,18,3,3,1,2,1,0,1,3,1,3,0.904406281,Male,8,7.235250245
3,19,2,5,1,1,1,3,NA,3,1,3,0.938746896,Female,14,13.14245655
3,19,3,3,1,2,1,2,NA,3,1,3,1.161052824,Female,14,16.25473953
4,2,2,3,1,2,1,3,NA,3,1,3,1.001908566,Male,9,9.017177095
4,3,2,4,1,1,1,2,NA,3,1,3,1.024059644,Female,14,14.33683501
4,4,2,5,1,1,1,2,NA,3,1,3,1.00930434,Male,9,9.083739057
4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,14,0
4,6,1,5,1,1,1,3,NA,3,1,3,1.033196461,Male,9,9.298768148
4,6,2,4,1,1,1,1,2,NA,1,3,1.024059644,Female,14,14.33683501
4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,14,0
4,8,3,5,1,1,1,0,1,3,1,3,0.77747024,Female,14,10.88458336
4,8,4,3,2,2,2,NA,1,3,1,3,1.355552958,Male,9,12.19997663
4,9,4,5,1,1,1,3,1,3,1,3,0.77747024,Female,14,10.88458336
4,9,5,5,1,2,1,3,NA,3,1,3,1.278535105,Female,14,17.89949147
4,10,3,5,1,2,2,NA,1,3,1,3,1.241406453,Male,9,11.17265807
4,12,3,5,1,2,1,2,NA,3,1,3,1.355552958,Male,9,12.19997663
4,14,2,3,1,1,2,NA,1,3,1,3,0.846044412,Female,14,11.84462177
4,14,3,5,1,1,1,3,NA,3,1,3,1.241406453,Male,9,11.17265807
4,15,4,5,1,1,1,3,1,3,1,3,0.934564627,Female,14,13.08390478
4,16,1,5,1,1,1,2,NA,3,1,3,1.033196461,Male,9,9.298768148
4,16,2,5,1,1,1,1,1,3,1,3,1.063006985,Female,14,14.88209779
4,17,2,5,1,1,1,3,NA,3,1,3,1.024059644,Female,14,14.33683501
4,19,2,5,1,1,2,NA,1,3,1,3,1.114383413,Female,14,15.60136778
4,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,14,0
4,20,1,5,1,1,1,0,1,3,1,3,1.019297281,Male,9,9.173675529
4,20,2,5,1,1,1,3,NA,3,1,3,1.024059644,Female,14,14.33683501
5,2,2,5,1,1,1,2,NA,3,1,3,0.77151914,Female,16,12.34430624
5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,16,0
5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,16,0
5,5,2,5,1,1,1,3,NA,3,1,3,1.065336245,Female,16,17.04537992
5,5,3,5,1,2,1,3,NA,3,1,3,1.892660119,Female,16,30.28256191
5,5,4,5,1,2,1,3,NA,3,1,3,1.609927054,Female,16,25.75883286
5,5,5,5,1,2,1,3,NA,3,1,3,1.609927054,Female,16,25.75883286
5,9,2,5,1,1,1,3,NA,3,1,3,1.065336245,Female,16,17.04537992
5,10,3,5,1,1,1,2,NA,3,1,3,0.749882979,Male,6,4.499297876
5,10,4,3,1,1,2,NA,1,3,1,3,0.808807604,Female,16,12.94092166
5,10,5,3,1,2,1,0,1,3,1,3,1.026364822,Male,6,6.158188931
5,11,3,5,1,2,1,2,1,2,1,3,1.222263157,Female,16,19.55621052
5,13,5,5,1,1,1,3,NA,3,1,3,0.893431793,Female,16,14.2949087
5,14,1,5,1,1,1,3,NA,3,1,3,0.974435123,Male,6,5.846610741
5,14,2,5,1,1,1,3,NA,3,1,3,1.01622104,Female,16,16.25953663
5,16,1,5,1,1,1,3,NA,3,1,3,1.01622104,Female,16,16.25953663
5,16,2,5,1,1,1,3,NA,3,1,3,0.987722561,Male,6,5.926335366
5,18,1,3,2,1,1,1,NA,3,1,3,1.01622104,Female,16,16.25953663
5,18,2,5,1,1,1,3,NA,3,1,3,0.987722561,Male,6,5.926335366
5,19,1,5,1,1,1,3,NA,3,1,3,1.01622104,Female,16,16.25953663
5,20,3,5,1,1,1,3,NA,3,1,3,0.739795103,Male,6,4.438770617
5,20,4,5,1,1,1,3,NA,3,1,3,0.77151914,Female,16,12.34430624
6,1,3,3,1,2,1,3,1,3,1,3,0.826637649,Female,19,15.70611533
6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,19,0
6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,7,0
6,3,1,5,1,1,1,3,NA,3,1,3,0.880345592,Female,19,16.72656624
6,3,2,5,1,1,1,2,NA,3,1,3,0.805229024,Male,7,5.636603171
6,4,3,5,1,2,1,3,NA,3,1,3,1.18740164,Female,19,22.56063116
6,4,4,5,1,1,1,2,NA,3,1,3,0.637548452,Female,19,12.11342059
6,5,1,5,1,1,1,2,NA,3,1,3,0.805229024,Male,7,5.636603171
6,5,2,5,1,1,1,3,NA,3,1,3,0.808991217,Female,19,15.37083312
6,7,3,5,1,2,1,3,NA,3,1,3,0.980691821,Male,7,6.864842747
6,8,2,5,1,1,1,3,NA,3,1,3,0.839759012,Female,19,15.95542122
6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,19,0
6,10,2,5,1,1,1,3,1,3,1,3,1.247943238,Female,19,23.71092153
6,11,2,5,1,1,1,3,NA,3,1,3,0.668361948,Female,19,12.69887702
6,11,3,3,1,2,1,2,NA,3,1,3,0.826637649,Female,19,15.70611533
6,13,3,5,1,1,1,3,NA,3,1,3,0.634088667,Male,7,4.438620669
6,13,4,5,1,2,1,3,NA,3,1,3,1.01002288,Female,19,19.19043472
6,14,4,5,1,1,1,3,NA,3,1,3,0.637548452,Female,19,12.11342059
6,15,3,5,1,1,1,3,NA,3,1,3,0.738291544,Female,19,14.02753933
6,15,4,5,1,2,1,3,NA,3,1,3,1.01002288,Female,19,19.19043472
6,16,2,2,1,1,2,NA,2,NA,1,3,0.668361948,Female,19,12.69887702
6,17,3,5,1,2,1,3,NA,3,1,3,0.980691821,Male,7,6.864842747
6,17,4,3,2,2,2,NA,1,3,1,3,1.01002288,Female,19,19.19043472
6,18,4,5,1,1,1,3,NA,3,1,3,0.738291544,Female,19,14.02753933
6,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,19,0
6,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,7,0
7,2,3,5,1,1,1,3,NA,3,1,3,0.777515431,Female,20,15.55030863
7,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,20,0
7,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Male,9,0
7,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,20,0
7,4,1,3,1,1,2,NA,1,3,1,3,1.114448187,Female,20,22.28896374
7,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,20,0
7,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,20,0
7,5,3,3,1,2,1,0,2,NA,2,1,1.378362176,Female,20,27.56724351
7,6,3,2,2,1,2,NA,1,3,1,3,0.670747214,Male,9,6.036724927
7,6,4,2,2,1,2,NA,1,3,1,3,0.723453474,Female,20,14.46906949
7,6,5,5,1,2,1,2,NA,3,1,3,1.159134773,Male,9,10.43221296
7,7,1,5,1,2,1,3,NA,3,1,3,2.540804623,Female,20,50.81609245
7,7,2,5,1,2,1,3,NA,3,1,3,2.161249164,Female,20,43.22498328
7,8,1,4,1,1,1,2,NA,3,1,3,1.033256516,Male,9,9.299308648
7,8,2,3,1,1,2,NA,1,3,1,3,1.063068773,Female,20,21.26137547
7,8,3,3,1,2,1,3,NA,3,1,3,1.414218177,Male,9,12.7279636
7,10,1,3,1,1,2,NA,1,3,1,3,1.033256516,Male,9,9.299308648
7,10,2,3,1,1,1,1,1,3,1,3,1.114448187,Female,20,22.28896374
7,12,2,3,2,1,2,NA,1,2,1,3,0.846093589,Female,20,16.92187179
7,12,3,3,1,2,1,3,NA,3,1,3,1.073680183,Male,9,9.66312165
7,13,2,3,2,1,1,0,1,3,1,3,0.65886109,Female,20,13.1772218
7,14,1,5,1,1,1,3,NA,3,1,3,1.033256516,Male,9,9.299308648
7,14,2,5,1,1,1,3,NA,3,1,3,1.063068773,Female,20,21.26137547
7,15,3,5,1,1,1,3,NA,3,1,3,1.141372209,Female,20,22.82744418
7,17,3,5,1,2,1,3,NA,3,1,3,1.278609421,Female,20,25.57218842
7,17,4,5,1,2,1,3,NA,3,1,3,1.046458161,Female,20,20.92916322
7,18,1,5,1,1,1,3,NA,3,1,3,1.706138652,Male,9,15.35524787
7,18,2,5,1,1,1,3,NA,3,1,3,1.579797857,Female,20,31.59595715
7,19,4,5,1,1,1,3,NA,3,1,3,0.80708613,Female,20,16.14172259
8,1,2,5,1,1,1,3,NA,3,1,3,1.120439844,Female,16,17.92703751
8,1,3,5,1,2,1,2,NA,3,1,3,1.385772725,Female,16,22.1723636
8,3,2,5,1,1,1,3,1,3,1,3,1.120439844,Female,16,17.92703751
8,4,1,5,1,1,1,3,NA,3,1,3,1.321309683,Female,16,21.14095494
8,4,2,5,1,1,1,3,NA,3,1,3,1.333098611,Male,6,7.998591665
8,5,2,5,1,1,1,3,NA,3,1,3,1.588291394,Female,16,25.41266231
8,5,4,NA,1,1,2,NA,1,3,1,3,1.437851401,Female,16,23.00562242
8,6,1,5,1,1,1,3,NA,3,1,3,1.321309683,Female,16,21.14095494
8,6,2,5,1,1,1,3,NA,3,1,3,1.364119069,Male,6,8.184714413
8,9,2,5,1,1,1,3,NA,3,1,3,1.120439844,Female,16,17.92703751
8,10,1,5,1,1,1,3,NA,3,1,3,1.02483694,Male,6,6.149021641
8,10,2,5,1,1,1,3,NA,3,1,3,1.068784197,Female,16,17.10054715
8,12,1,5,1,1,1,3,NA,3,1,3,1.038811659,Male,6,6.232869954
8,12,2,5,1,1,1,3,NA,3,1,3,1.120439844,Female,16,17.92703751
8,13,2,5,1,1,1,3,NA,3,1,3,1.068784197,Female,16,17.10054715
8,14,3,5,2,2,1,3,NA,3,1,3,1.511238451,Female,16,24.17981522
8,16,1,5,1,1,1,3,NA,3,1,3,1.364119069,Male,6,8.184714413
8,16,2,5,1,1,1,3,NA,3,1,3,1.321309683,Female,16,21.14095494
8,18,1,5,1,1,1,2,NA,3,1,3,1.038811659,Male,6,6.232869954
8,18,2,5,1,1,1,3,NA,3,1,3,1.120439844,Female,16,17.92703751
8,18,3,5,1,2,1,2,NA,3,1,3,1.693199143,Female,16,27.09118629
8,19,2,5,1,1,1,3,NA,3,1,3,1.068784197,Female,16,17.10054715
9,1,2,5,1,1,1,3,NA,3,1,3,1.068784197,Female,17,18.16933135
9,2,2,5,1,1,1,3,NA,3,1,3,0.811425302,Female,17,13.79423014
9,4,1,5,1,1,1,3,NA,3,1,3,1.02483694,Male,5,5.124184701
9,4,2,5,1,1,1,3,NA,3,1,3,1.068784197,Female,17,18.16933135
9,6,1,5,1,1,1,3,NA,3,1,3,1.02483694,Male,5,5.124184701
9,6,2,5,1,1,1,3,NA,3,1,3,1.068784197,Female,17,18.16933135
9,7,2,5,1,1,1,3,NA,3,1,3,1.029625185,Female,17,17.50362815
9,8,1,5,1,1,1,3,NA,3,1,3,1.364119069,Male,5,6.820595344
9,8,2,5,1,1,1,3,NA,3,1,3,1.321309683,Female,17,22.46226462
9,9,2,5,1,1,1,2,NA,3,1,3,1.029625185,Female,17,17.50362815
9,11,1,5,1,1,1,3,NA,3,1,3,1.068784197,Female,17,18.16933135
9,12,1,5,1,1,1,3,NA,3,1,3,1.038811659,Male,5,5.194058295
9,12,2,5,1,1,1,3,NA,3,1,3,1.120439844,Female,17,19.04747735
9,13,2,5,1,1,1,3,NA,3,1,3,1.120439844,Female,17,19.04747735
9,13,3,5,1,2,1,2,NA,3,2,2,1.385772725,Female,17,23.55813633
9,14,2,5,1,1,1,3,1,3,1,3,0.85064248,Female,17,14.46092215
9,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,17,0
9,15,2,5,1,1,1,3,NA,3,1,3,1.068784197,Female,17,18.16933135
9,16,1,5,1,1,1,3,NA,3,1,3,1.364119069,Male,5,6.820595344
9,16,2,5,1,1,1,3,NA,3,1,3,1.321309683,Female,17,22.46226462
9,17,1,5,1,1,1,0,1,3,1,3,1.588291394,Female,17,27.0009537
9,19,2,5,1,1,1,3,NA,3,1,3,1.029625185,Female,17,17.50362815
10,1,2,5,1,1,1,3,NA,3,1,3,0.838828001,Female,24,20.13187202
10,1,3,5,1,2,1,3,NA,3,1,3,1.267629726,Female,24,30.42311341
10,1,4,3,1,2,1,3,NA,3,1,3,1.037471999,Female,24,24.89932797
10,5,2,5,1,1,1,3,NA,3,1,3,0.795813302,Male,6,4.774879811
10,5,3,5,1,2,1,3,NA,3,1,3,1.343990648,Male,6,8.06394389
10,5,4,5,1,1,1,3,NA,3,1,3,0.926593175,Female,24,22.23823619
10,6,3,5,1,1,1,3,NA,3,1,3,0.800155507,Female,24,19.20373216
10,7,1,5,1,2,1,3,NA,3,1,3,2.14269005,Female,24,51.4245612
10,7,2,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,7,3,5,1,2,1,3,NA,3,1,3,2.14269005,Female,24,51.4245612
10,8,1,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,8,2,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,8,3,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,9,1,5,1,1,1,3,NA,3,1,3,1.024383719,Male,6,6.146302316
10,9,2,3,1,1,1,3,NA,3,1,3,1.22047974,Female,24,29.29151376
10,11,2,5,1,1,1,2,NA,3,1,3,0.77771628,Male,6,4.666297678
10,11,3,5,1,1,1,3,NA,3,1,3,0.838828001,Female,24,20.13187202
10,12,3,5,1,1,1,3,NA,3,1,3,0.838828001,Female,24,20.13187202
10,13,1,5,1,2,1,2,NA,3,1,3,1.753651626,Female,24,42.08763901
10,13,2,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,14,2,5,1,1,1,2,NA,3,1,3,1.053939972,Female,24,25.29455932
10,16,2,5,1,1,1,3,NA,3,1,3,0.838828001,Female,24,20.13187202
10,17,3,5,1,2,1,3,NA,3,1,3,0.993362697,Male,6,5.960176184
10,18,1,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,18,2,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,19,1,5,1,2,1,3,NA,3,1,3,1.799270213,Male,6,10.79562128
10,20,1,5,1,2,1,2,NA,3,1,3,1.753651626,Female,24,42.08763901
10,20,2,5,1,2,1,2,1,3,1,3,1.753651626,Female,24,42.08763901
10,20,3,5,1,2,1,3,NA,3,1,3,1.753651626,Female,24,42.08763901
10,20,4,5,1,2,1,2,NA,3,1,3,1.753651626,Female,24,42.08763901
11,2,3,5,1,1,2,NA,1,3,1,3,0.949426774,Female,10,9.494267739
11,3,4,3,1,1,2,NA,1,3,1,3,1.069130491,Female,10,10.69130491
11,4,4,5,1,1,1,3,NA,3,1,3,0.67135784,Female,10,6.713578395
11,5,3,5,1,1,1,3,NA,3,1,3,0.703805385,Female,10,7.03805385
11,5,4,5,1,1,1,3,NA,3,1,3,0.652530561,Male,6,3.915183363
11,5,5,3,1,2,1,0,1,3,1,3,0.893118568,Male,6,5.358711407
11,7,1,5,1,1,1,3,NA,3,1,3,0.85949298,Male,6,5.156957879
11,7,2,5,1,1,1,3,NA,3,9,3,0.927030585,Female,10,9.270305853
11,9,2,3,1,2,1,2,NA,3,1,3,1.032698205,Male,6,6.196189233
11,11,2,5,1,1,1,3,NA,3,1,3,0.643752327,Male,6,3.862513963
11,11,3,5,1,1,1,2,NA,3,1,3,0.67135784,Female,10,6.713578395
11,12,2,5,1,1,1,3,NA,3,1,3,0.884291687,Female,10,8.842916866
11,15,2,3,1,1,2,NA,1,3,1,3,0.703805385,Female,10,7.03805385
11,15,3,5,1,2,1,3,NA,3,1,3,1.127654126,Male,6,6.765924753
11,16,2,3,2,1,2,NA,1,3,1,3,0.851892266,Female,10,8.518922665
11,18,3,5,1,1,1,2,NA,3,1,3,0.646760068,Female,10,6.467600682
12,3,2,3,1,1,2,NA,1,3,1,3,0.712019261,Female,15,10.68028891
12,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,15,0
12,3,4,3,1,2,1,2,1,3,2,2,0.880633509,Female,15,13.20950263
12,6,4,5,1,1,2,NA,1,3,1,3,0.786516648,Female,15,11.79774972
12,7,3,5,1,2,1,3,NA,3,1,3,0.675507253,Male,3,2.02652176
12,7,4,5,1,2,2,NA,1,3,1,3,0.786516648,Female,15,11.79774972
12,8,3,5,1,2,1,3,NA,3,1,3,1.075997438,Female,15,16.13996158
12,9,3,5,1,1,1,3,NA,3,1,3,0.651265344,Male,3,1.953796032
12,9,4,5,1,1,1,2,NA,3,1,3,0.654308187,Female,15,9.814622809
12,11,3,2,2,2,2,NA,1,3,1,3,0.608813037,Female,15,9.132195561
12,11,4,2,1,2,1,1,NA,3,1,3,0.893315318,Male,3,2.679945954
12,12,2,3,1,1,1,3,NA,3,1,3,0.894611957,Female,15,13.41917936
12,14,2,3,1,1,2,NA,1,2,1,3,0.712019261,Female,15,10.68028891
12,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,15,0
12,15,2,5,2,2,1,2,NA,3,1,3,0.752986879,Female,15,11.29480319
12,16,3,5,1,1,1,2,1,3,1,3,0.654308187,Female,15,9.814622809
12,19,2,5,1,1,1,2,1,3,1,3,0.916224942,Female,15,13.74337413
12,20,2,5,1,1,1,3,NA,3,1,3,0.861834414,Female,15,12.92751622
13,4,1,2,1,1,1,0,1,3,1,3,0.576002917,Female,9,5.184026249
13,4,2,5,1,1,1,3,NA,3,1,3,0.552318296,Male,2,1.104636592
13,4,3,5,1,2,1,2,NA,1,1,3,0.766266318,Male,2,1.532532636
13,4,4,3,1,2,1,2,NA,3,2,2,0.746838449,Female,9,6.721546037
13,9,6,3,1,1,1,1,NA,3,1,3,0.679735323,Female,9,6.117617911
13,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,9,0
13,11,2,5,1,1,1,3,NA,3,1,3,0.739689113,Female,9,6.657202015
13,11,3,5,1,2,1,3,NA,3,1,3,1.117811883,Female,9,10.06030695
13,13,5,5,1,2,1,3,NA,3,1,3,0.955786571,Female,9,8.602079138
13,15,2,5,1,1,1,2,NA,3,1,3,0.974295517,Female,9,8.76865965
13,19,2,4,1,1,2,NA,1,3,1,3,0.929377562,Female,9,8.364398062
14,1,1,3,1,1,2,NA,2,NA,1,3,1.09706278,Male,5,5.4853139
14,1,2,3,1,1,2,NA,2,NA,1,3,1.183268247,Female,9,10.64941422
14,3,2,3,1,2,1,2,1,3,1,3,1.139982713,Male,5,5.699913565
14,5,1,5,1,1,1,3,NA,3,1,3,1.082304432,Male,5,5.411522161
14,5,2,5,1,1,1,3,NA,3,1,3,1.128716021,Female,9,10.15844419
14,8,2,5,1,1,1,3,NA,3,1,3,1.677354463,Female,9,15.09619017
14,9,1,5,1,1,1,3,NA,3,1,3,1.440611727,Male,5,7.203058634
14,9,2,5,1,1,1,0,1,3,1,3,1.677354463,Female,9,15.09619017
14,10,2,5,1,1,1,3,NA,3,1,3,1.087361177,Female,9,9.786250594
14,11,2,2,1,1,2,NA,2,NA,1,3,0.73271556,Female,9,6.594440036
14,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,9,0
14,17,3,5,1,2,1,3,NA,3,1,3,1.357566862,Female,9,12.21810175
14,18,1,5,1,1,1,3,NA,3,1,3,1.395401815,Female,9,12.55861634
14,19,1,2,1,2,2,NA,2,NA,1,3,1.383965746,Male,5,6.919828729
15,1,1,5,1,1,1,3,NA,3,1,3,1.258116343,Male,9,11.32304708
15,1,2,5,1,1,1,3,NA,3,1,3,1.294416416,Female,17,22.00507907
15,1,3,3,1,2,1,3,NA,2,1,3,1.678324745,Female,17,28.53152066
15,4,4,5,1,2,1,3,NA,3,1,3,1.83027768,Female,17,31.11472056
15,6,3,4,1,2,1,3,NA,3,1,3,1.83027768,Female,17,31.11472056
15,7,1,3,1,1,2,NA,1,3,1,3,2.225177752,Male,9,20.02659977
15,7,2,3,1,1,1,3,NA,3,1,3,2.352105003,Female,17,39.98578505
15,8,1,3,1,1,1,1,NA,2,1,3,1.830549268,Female,17,31.11933756
15,9,2,5,1,2,1,3,NA,3,1,3,1.522619609,Female,17,25.88453335
15,9,3,3,1,2,1,2,NA,3,1,3,1.511652241,Male,9,13.60487017
15,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,17,0
15,11,1,5,1,1,1,3,NA,0,1,3,1.258116343,Male,9,11.32304708
15,11,2,3,1,1,1,2,NA,3,1,3,1.356977145,Female,17,23.06861146
15,11,3,5,1,2,1,3,NA,3,1,3,2.174181824,Male,9,19.56763641
15,11,4,5,1,2,1,2,NA,3,1,3,1.721983818,Male,9,15.49785436
15,13,3,5,1,1,1,3,NA,3,1,3,0.805729907,Male,9,7.251569167
15,13,4,5,1,1,1,3,NA,3,1,3,0.840281374,Female,17,14.28478335
15,14,3,5,1,2,1,3,NA,3,1,3,1.55686355,Female,17,26.46668035
15,15,3,3,1,1,2,NA,1,3,1,3,0.955167036,Male,9,8.596503328
15,15,4,5,1,1,1,0,1,3,1,3,1.030222559,Female,17,17.5137835
15,17,2,5,1,1,1,3,NA,3,1,3,1.030222559,Female,17,17.5137835
15,17,3,5,1,2,1,2,NA,3,1,3,1.55686355,Female,17,26.46668035
15,17,4,5,1,2,1,2,NA,3,1,3,1.274190962,Female,17,21.66124635
15,19,3,3,1,1,2,NA,1,3,1,3,0.955167036,Male,9,8.596503328
15,19,4,5,1,1,1,2,NA,3,1,3,1.030222559,Female,17,17.5137835
15,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Female,17,0
